suitability_group_id,suitability_report_id,portfolio_id,constraint_type,lower_bound,upper_bound,value,drift
38388,458,AM-4202GPD006,assetClass_Equity,"0,48","0,58","0,54",False
39624,458,AM-4202GPD007,assetClass_Equity,"0,69","0,79","0,76",False
39393,458,TAE06002,assetClass_Equity,"0,29","0,39","0,38",False
39319,458,TAE06003,assetClass_Equity,"0,46","0,56","0,55",False
39419,458,TAE06004i,assetClass_Equity,"0,59","0,70","0,67",False
39420,458,TAE06005,assetClass_Equity,"0,59","0,70","0,68",False
39394,458,TAE06006,assetClass_Equity,"0,29","0,39","0,37",False
38389,458,TAE06008,assetClass_Equity,"0,48","0,58","0,54",False
39395,458,TAE06009,assetClass_Equity,"0,29","0,39","0,38",False
39396,458,TAE06010,assetClass_Equity,"0,29","0,39","0,36",False
39314,458,TAE06011i,assetClass_Equity,"0,79","0,90","0,89",False
39320,458,TAE06013,assetClass_Equity,"0,46","0,56","0,55",False
39397,458,TAE06015i,assetClass_Equity,"0,29","0,39","0,38",False
39421,458,TAE06021i,assetClass_Equity,"0,59","0,70","0,69",False
39321,458,TAE06022i,assetClass_Equity,"0,46","0,56","0,55",False
39322,458,TAE06023i,assetClass_Equity,"0,46","0,56","0,55",False
39323,458,TAE06024i,assetClass_Equity,"0,46","0,56","0,55",False
39324,458,TAE06025i,assetClass_Equity,"0,46","0,56","0,55",False
39325,458,TAE06027,assetClass_Equity,"0,46","0,56","0,55",False
39398,458,TAE06028i,assetClass_Equity,"0,29","0,39","0,37",False
39399,458,TAE06029i,assetClass_Equity,"0,29","0,39","0,37",False
39315,458,TAE06030,assetClass_Equity,"0,79","0,90","0,88",False
39326,458,TAE06034,assetClass_Equity,"0,46","0,56","0,55",False
39327,458,TAE06036i,assetClass_Equity,"0,46","0,56","0,55",False
39422,458,TAE06038i,assetClass_Equity,"0,59","0,70","0,67",False
39423,458,TAE06039i,assetClass_Equity,"0,59","0,70","0,67",False
39328,458,TAE06040,assetClass_Equity,"0,46","0,56","0,54",False
39329,458,TAE06046,assetClass_Equity,"0,46","0,56","0,55",False
39316,458,TAE06047,assetClass_Equity,"0,79","0,90","0,88",False
39330,458,TAE06052i,assetClass_Equity,"0,46","0,56","0,55",False
39331,458,TAE06053i,assetClass_Equity,"0,46","0,56","0,55",False
39424,458,TAE06054i,assetClass_Equity,"0,59","0,70","0,67",False
39332,458,TAE06055i,assetClass_Equity,"0,46","0,56","0,55",False
39333,458,TAE06056i,assetClass_Equity,"0,46","0,56","0,55",False
39334,458,TAE06057i,assetClass_Equity,"0,46","0,56","0,55",False
39425,458,TAE06058i,assetClass_Equity,"0,59","0,70","0,71",True
39426,458,TAE06062i,assetClass_Equity,"0,59","0,70","0,66",False
39427,458,TAE06063i,assetClass_Equity,"0,59","0,70","0,66",False
39400,458,TAE06064i,assetClass_Equity,"0,29","0,39","0,38",False
39428,458,TAE06065i,assetClass_Equity,"0,59","0,70","0,72",True
39429,458,TAE06067,assetClass_Equity,"0,59","0,70","0,72",True
39335,458,TAE06068,assetClass_Equity,"0,46","0,56","0,55",False
39430,458,TAE06072,assetClass_Equity,"0,59","0,70","0,67",False
39401,458,TAE06076i,assetClass_Equity,"0,29","0,39","0,38",False
39431,458,TAE06080,assetClass_Equity,"0,59","0,70","0,72",True
39336,458,TAE06081,assetClass_Equity,"0,46","0,56","0,54",False
39402,458,TAE06082,assetClass_Equity,"0,29","0,39","0,37",False
39403,458,TAE06083,assetClass_Equity,"0,29","0,39","0,37",False
39337,458,TAE06084,assetClass_Equity,"0,46","0,56","0,55",False
39338,458,TAE06085,assetClass_Equity,"0,46","0,56","0,54",False
38390,458,TAE06089i,assetClass_Equity,"0,48","0,58","0,55",False
39416,458,TAE06090i,assetClass_Equity,"0,08","0,18","0,15",False
39432,458,TAE06091i,assetClass_Equity,"0,59","0,70","0,72",True
39404,458,TAE06093i,assetClass_Equity,"0,29","0,39","0,38",False
39339,458,TAE06098i,assetClass_Equity,"0,46","0,56","0,55",False
39340,458,TAE06100,assetClass_Equity,"0,46","0,56","0,55",False
39405,458,TAE06101,assetClass_Equity,"0,29","0,39","0,37",False
39406,458,TAE06102i,assetClass_Equity,"0,29","0,39","0,38",False
39341,458,TAE06104,assetClass_Equity,"0,46","0,56","0,55",False
