suitability_global_id,suitability_report_id,portfolio_id,allocation_model_id,model_risk,max_risk,min_risk,client_risk,risk_drift,max_tracking_error,tracking_error,tracking_error_drift,max_non_strategy_vol_budget,non_strategy_vol_budget,non_strategy_vol_drift,max_non_strategy_assets,non_strategy_assets,non_strategy_assets_drift,drifted
40036,458,AM-4202GPD006,243,"0,11","0,12","0,09","0,11",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40037,458,AM-4202GPD007,272,"0,14","0,15","0,12","0,14",False,"0,01","0,00",False,"0,00","0,01",True,0,1,True,True
40038,458,TAE06002,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40039,458,TAE06003,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40040,458,TAE06004i,263,"0,15","0,16","0,13","0,15",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40041,458,TAE06005,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40042,458,TAE06006,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40043,458,TAE06008,243,"0,11","0,12","0,09","0,11",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40044,458,TAE06009,261,"0,09","0,10","0,08","0,10",False,"0,01","0,02",True,"0,00","0,00",False,0,0,False,True
40045,458,TAE06010,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40046,458,TAE06011i,259,"0,19","0,20","0,17","0,19",False,"0,02","0,01",False,"0,00","0,00",False,0,0,False,False
40047,458,TAE06013,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40048,458,TAE06015i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40049,458,TAE06021i,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40050,458,TAE06022i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40051,458,TAE06023i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40052,458,TAE06024i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40053,458,TAE06025i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40054,458,TAE06027,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40055,458,TAE06028i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40056,458,TAE06029i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40057,458,TAE06030,259,"0,19","0,20","0,17","0,19",False,"0,02","0,01",False,"0,00","0,00",False,0,0,False,False
40058,458,TAE06034,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40059,458,TAE06036i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40060,458,TAE06038i,263,"0,15","0,16","0,13","0,15",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40061,458,TAE06039i,263,"0,15","0,16","0,13","0,15",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40062,458,TAE06040,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40063,458,TAE06046,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40064,458,TAE06047,259,"0,19","0,20","0,17","0,19",False,"0,02","0,01",False,"0,00","0,00",False,0,0,False,False
40065,458,TAE06052i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40066,458,TAE06053i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40067,458,TAE06054i,263,"0,15","0,16","0,13","0,15",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40068,458,TAE06055i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40069,458,TAE06056i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40070,458,TAE06057i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40071,458,TAE06058i,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40072,458,TAE06062i,263,"0,15","0,16","0,13","0,15",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40073,458,TAE06063i,263,"0,15","0,16","0,13","0,15",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40074,458,TAE06064i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40075,458,TAE06065i,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40076,458,TAE06067,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40077,458,TAE06068,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40078,458,TAE06072,263,"0,15","0,16","0,13","0,15",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40079,458,TAE06076i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",True,"0,00","0,00",False,0,0,False,True
40080,458,TAE06080,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40081,458,TAE06081,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40082,458,TAE06082,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40083,458,TAE06083,261,"0,09","0,10","0,08","0,10",False,"0,01","0,02",True,"0,00","0,00",False,0,0,False,True
40084,458,TAE06084,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40085,458,TAE06085,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40086,458,TAE06089i,243,"0,11","0,12","0,09","0,11",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40087,458,TAE06090i,262,"0,06","0,06","0,05","0,06",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40088,458,TAE06091i,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40089,458,TAE06093i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40090,458,TAE06098i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40091,458,TAE06100,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40092,458,TAE06101,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",True,"0,00","0,00",False,0,0,False,True
40093,458,TAE06102i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40094,458,TAE06104,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40095,458,TAE06105,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40096,458,TAE06106,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",True,"0,00","0,00",False,0,0,False,True
40097,458,TAE06107,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40098,458,TAE06108,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40099,458,TAE06109,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40100,458,TAE06110,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40101,458,TAE06111i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40102,458,TAE06112i,261,"0,09","0,10","0,08","0,10",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40103,458,TAE06113,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40104,458,TAE06114i,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40105,458,TAE06115i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40106,458,TAE06116,260,"0,12","0,13","0,11","0,12",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40107,458,TAE06117,263,"0,15","0,16","0,13","0,16",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40108,458,TAE06118i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40109,458,TAE06119,260,"0,12","0,13","0,11","0,12",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40110,458,TAE06123i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40111,458,TAE06124i,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40112,458,TAE06125,260,"0,12","0,13","0,11","0,13",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
40113,458,TAE06127,252,"0,11","0,12","0,09","0,11",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40114,458,TAE06128,260,"0,12","0,13","0,11","0,12",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
40115,458,TAE06129i,260,"0,12","0,13","0,11","0,12",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
