suitability_global_id,suitability_report_id,portfolio_id,allocation_model_id,model_risk,max_risk,min_risk,client_risk,risk_drift,max_tracking_error,tracking_error,tracking_error_drift,max_non_strategy_vol_budget,non_strategy_vol_budget,non_strategy_vol_drift,max_non_strategy_assets,non_strategy_assets,non_strategy_assets_drift,drifted
37886,443,AM-4202GPD006,27,"0,07","0,08","0,06","0,07",False,"0,01","0,01",True,"0,00","0,00",False,0,0,False,True
37887,443,AM-4202GPD007,26,"0,09","0,10","0,08","0,09",False,"0,01","0,01",False,"0,00","0,00",False,0,0,False,False
37888,443,FH00002223,25,"0,11","0,12","0,10","0,11",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37889,443,JM00002226,28,"0,08","0,09","0,07","0,08",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37890,443,PD00002228,30,"0,04","0,04","0,04","0,04",False,"0,00","0,00",False,"0,00","0,00",False,0,0,False,False
37891,443,TAE06008,27,"0,07","0,08","0,06","0,07",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37892,443,TAE06089i,27,"0,07","0,08","0,06","0,07",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37893,443,TAI09610,27,"0,07","0,08","0,06","0,05",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37894,443,TAI09622,29,"0,05","0,06","0,05","0,03",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37895,443,TAI09632,29,"0,05","0,06","0,05","0,03",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37896,443,TAI09636,29,"0,05","0,06","0,05","0,03",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37897,443,TAI09942,27,"0,07","0,08","0,06","0,00",True,"0,01","0,07",True,"0,00","0,00",False,0,0,False,True
37898,443,TAI09956,29,"0,05","0,06","0,05","0,05",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37899,443,TAI09958,26,"0,09","0,10","0,08","0,09",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37900,443,TAI09976,27,"0,07","0,08","0,06","0,07",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37901,443,TAIPL6023,27,"0,07","0,08","0,06","0,05",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37902,443,TAIPL6032,26,"0,09","0,10","0,08","0,06",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37903,443,TAIPL6038,26,"0,09","0,10","0,08","0,06",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37904,443,TAIPL6044,26,"0,09","0,10","0,08","0,07",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37905,443,TAIPL6044A,26,"0,09","0,10","0,08","0,07",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37906,443,TAIPL6062,27,"0,07","0,08","0,06","0,05",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37907,443,TAIPL6092,27,"0,07","0,08","0,06","0,05",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37908,443,TAIPL6095,29,"0,05","0,06","0,05","0,03",True,"0,01","0,03",True,"0,00","0,00",False,0,0,False,True
37909,443,TAIPR1003,26,"0,09","0,10","0,08","0,09",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37910,443,TAIPR1009,26,"0,09","0,10","0,08","0,09",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37911,443,TAIPR1018,26,"0,09","0,10","0,08","0,09",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37912,443,TAIPR1041,26,"0,09","0,10","0,08","0,09",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37913,443,TAIPR1047,29,"0,05","0,06","0,05","0,05",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37914,443,TAIPR1050,25,"0,11","0,12","0,10","0,11",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37915,443,TAIPR1068,29,"0,05","0,06","0,05","0,05",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
37916,443,TAIPR1074,27,"0,07","0,08","0,06","0,07",False,"0,01","0,00",False,"0,00","0,00",False,0,0,False,False
