suitability_group_id,suitability_report_id,portfolio_id,constraint_type,lower_bound,upper_bound,value,drift
36144,443,AM-4202GPD006,assetClass_Equity,0.00,1.00,0.46,False
36145,443,AM-4202GPD006,assetClass_Fixed Income,0.00,1.00,0.29,False
36146,443,TAE06008,assetClass_Equity,0.00,1.00,0.47,False
36147,443,TAE06008,assetClass_Fixed Income,0.00,1.00,0.30,False
36148,443,TAE06089i,assetClass_Equity,0.00,1.00,0.47,False
36149,443,TAE06089i,assetClass_Fixed Income,0.00,1.00,0.30,False
36150,443,TAI09610,assetClass_Equity,0.00,1.00,0.35,False
36151,443,TAI09610,assetClass_Fixed Income,0.00,1.00,0.11,False
36152,443,TAI09942,assetClass_Equity,0.00,1.00,0.00,False
36153,443,TAI09942,assetClass_Fixed Income,0.00,1.00,0.00,False
36154,443,TAI09976,assetClass_Equity,0.00,1.00,0.47,False
36155,443,TAI09976,assetClass_Fixed Income,0.00,1.00,0.30,False
36156,443,TAIPL6023,assetClass_Equity,0.00,1.00,0.35,False
36157,443,TAIPL6023,assetClass_Fixed Income,0.00,1.00,0.11,False
36158,443,TAIPL6062,assetClass_Equity,0.00,1.00,0.35,False
36159,443,TAIPL6062,assetClass_Fixed Income,0.00,1.00,0.10,False
36160,443,TAIPL6092,assetClass_Equity,0.00,1.00,0.35,False
36161,443,TAIPL6092,assetClass_Fixed Income,0.00,1.00,0.11,False
36162,443,TAIPR1074,assetClass_Equity,0.00,1.00,0.47,False
36163,443,TAIPR1074,assetClass_Fixed Income,0.00,1.00,0.29,False
36164,443,TAIPR1089,assetClass_Equity,0.00,1.00,0.47,False
36165,443,TAIPR1089,assetClass_Fixed Income,0.00,1.00,0.30,False
36166,443,TAIPR1107,assetClass_Equity,0.00,1.00,0.47,False
36167,443,TAIPR1107,assetClass_Fixed Income,0.00,1.00,0.30,False
36168,443,TAIPR1116,assetClass_Equity,0.00,1.00,0.47,False
36169,443,TAIPR1116,assetClass_Fixed Income,0.00,1.00,0.29,False
36170,443,TAIPR1131,assetClass_Equity,0.00,1.00,0.47,False
36171,443,TAIPR1131,assetClass_Fixed Income,0.00,1.00,0.30,False
36172,443,TAIPR1182,assetClass_Equity,0.00,1.00,0.47,False
36173,443,TAIPR1182,assetClass_Fixed Income,0.00,1.00,0.30,False
36174,443,TAIPR1197,assetClass_Equity,0.00,1.00,0.46,False
36175,443,TAIPR1197,assetClass_Fixed Income,0.00,1.00,0.30,False
36176,443,TAIPR1209,assetClass_Equity,0.00,1.00,0.47,False
36177,443,TAIPR1209,assetClass_Fixed Income,0.00,1.00,0.29,False
36178,443,TAM050063B,assetClass_Equity,0.00,1.00,0.47,False
36179,443,TAM050063B,assetClass_Fixed Income,0.00,1.00,0.29,False
36180,443,TAM050073,assetClass_Equity,0.00,1.00,0.47,False
36181,443,TAM050073,assetClass_Fixed Income,0.00,1.00,0.29,False
36182,443,TAM050430,assetClass_Equity,0.00,1.00,0.46,False
36183,443,TAM050430,assetClass_Fixed Income,0.00,1.00,0.30,False
36184,443,TAM050451,assetClass_Equity,0.00,1.00,0.18,False
36185,443,TAM050451,assetClass_Fixed Income,0.00,1.00,0.08,False
36186,443,TAM050471,assetClass_Equity,0.00,1.00,0.00,False
36187,443,TAM050471,assetClass_Fixed Income,0.00,1.00,0.05,False
36188,443,TAM050472,assetClass_Equity,0.00,1.00,0.00,False
