suitability_summary_id,suitability_report_id,portfolio_id,allocation_model_id,has_drifted,description,rebalanced
35243,443,AM-4202GPD006,R3 - PREMIER Balanced GBP,True,", tracking error drift",False
35244,443,AM-4202GPD007,R4 - PREMIER Growth GBP,False,,False
35245,443,FH00002223,R5 - PREMIER Adventurous GBP,False,,False
35246,443,JM00002226,R6 - PREMIER Speculative GBP,False,,False
35247,443,PD00002228,R1 - PREMIER Defensive GBP,False,,False
35248,443,TAE06008,R3 - PREMIER Balanced GBP,False,,False
35249,443,TAE06089i,R3 - PREMIER Balanced GBP,False,,False
35250,443,TAI09610,R3 - PREMIER Balanced GBP,True,", risk drift, tracking error drift",False
35251,443,TAI09622,R2 - PREMIER Cautious GBP,True,", risk drift, tracking error drift",False
35252,443,TAI09632,R2 - PREMIER Cautious GBP,True,", risk drift, tracking error drift",False
35253,443,TAI09636,R2 - PREMIER Cautious GBP,True,", risk drift, tracking error drift",False
35254,443,TAI09942,R3 - PREMIER Balanced GBP,True,", risk drift, tracking error drift",False
35255,443,TAI09956,R2 - PREMIER Cautious GBP,False,,False
35256,443,TAI09958,R4 - PREMIER Growth GBP,False,,False
35257,443,TAI09976,R3 - PREMIER Balanced GBP,False,,False
35258,443,TAIPL6023,R3 - PREMIER Balanced GBP,True,", risk drift, tracking error drift",False
35259,443,TAIPL6032,R4 - PREMIER Growth GBP,True,", risk drift, tracking error drift",False
35260,443,TAIPL6038,R4 - PREMIER Growth GBP,True,", risk drift, tracking error drift",False
35261,443,TAIPL6044,R4 - PREMIER Growth GBP,True,", risk drift, tracking error drift",False
35262,443,TAIPL6044A,R4 - PREMIER Growth GBP,True,", risk drift, tracking error drift",False
35263,443,TAIPL6062,R3 - PREMIER Balanced GBP,True,", risk drift, tracking error drift",False
35264,443,TAIPL6092,R3 - PREMIER Balanced GBP,True,", risk drift, tracking error drift",False
35265,443,TAIPL6095,R2 - PREMIER Cautious GBP,True,", risk drift, tracking error drift",False
35266,443,TAIPR1003,R4 - PREMIER Growth GBP,False,,False
35267,443,TAIPR1009,R4 - PREMIER Growth GBP,False,,False
35268,443,TAIPR1018,R4 - PREMIER Growth GBP,False,,False
35269,443,TAIPR1041,R4 - PREMIER Growth GBP,False,,False
35270,443,TAIPR1047,R2 - PREMIER Cautious GBP,False,,False
35271,443,TAIPR1050,R5 - PREMIER Adventurous GBP,False,,False
35272,443,TAIPR1068,R2 - PREMIER Cautious GBP,False,,False
35273,443,TAIPR1074,R3 - PREMIER Balanced GBP,False,,False
35274,443,TAIPR1089,R3 - PREMIER Balanced GBP,False,,False
35275,443,TAIPR1104,R5 - PREMIER Adventurous GBP,False,,False
35276,443,TAIPR1107,R3 - PREMIER Balanced GBP,False,,False
35277,443,TAIPR1110,R2 - PREMIER Cautious GBP,True,", tracking error drift",False
35278,443,TAIPR1116,R3 - PREMIER Balanced GBP,False,,False
35279,443,TAIPR1131,R3 - PREMIER Balanced GBP,False,,False
35280,443,TAIPR1153,R4 - PREMIER Growth GBP,False,,False
35281,443,TAIPR1160,R4 - PREMIER Growth GBP,False,,False
35282,443,TAIPR1163,R2 - PREMIER Cautious GBP,False,,False
35283,443,TAIPR1182,R3 - PREMIER Balanced GBP,False,,False
35284,443,TAIPR1197,R3 - PREMIER Balanced GBP,False,,False
35285,443,TAIPR1209,R3 - PREMIER Balanced GBP,False,,False
35286,443,TAIPR1218,R4 - PREMIER Growth GBP,False,,False
35287,443,TAIPR1221,R4 - PREMIER Growth GBP,False,,False
35288,443,TAL00001Ji,R5 - PREMIER Adventurous GBP,False,,False
35289,443,TAL00002Ji,R5 - PREMIER Adventurous GBP,False,,False
